Venue,Date,Description,Location,
Sweet Home Music Festival,9/13/03,,"Sweet Home, TX",
Blue Light Live,9/19/03,,"Lubbock, TX",
Private   ,9/20/03,,"Plano, TX",
Waller County Fair,9/27/03,with Chris Knight,"Waller, TX",
Firehouse Saloon,1/10/04,,"Houston, TX",
Adair's Saloon,1/13/04,,"Dallas, TX",
Adair's Saloon,2/10/04,with Randy Rogers,"Dallas, TX",
Floore's Country Store,2/13/04,,Helotes TX,
Gypsy Tea Room,2/14/04,,"Dallas, TX",
Horseman Club,2/18/04,,"Fort Worth, TX",
Shotz,2/19/04,,"Amarillo, TX",
Blue Light Live,2/21/04,,"Lubbock, TX",
Adair's Saloon,2/24/04,,"Dallas, TX",
Private   ,2/28/04,,"Houston, TX",
Puffabelly's,3/3/04,,"Spring, TX",
Bash Rip Rocks,3/5/04,,"Lubbock, TX",
Carney's Pub,3/9/04,,"College Station, TX",
Private   ,3/20/04,,"Luckenbach, TX",
Private   ,3/21/04,,"Houston, TX",
Dan Electro's,3/26/04,with Gordy Quist,"Houston, TX",
Private   ,3/27/04,,"Corpus Christi, TX",
Adair's Saloon,4/3/04,,"Dallas, TX",
Bourbon Street Bar & Grill,4/7/04,with Wade Bowen,"College Station, TX",
Blanco's,4/8/04,,"Houston, TX",
P's Place,4/9/04,,"Bay City, TX",
River Road Ice House,4/18/04,,"New Braunfels, TX",
Private   ,4/24/04,,"Clifton, TX",
Blackland Prarie Festival,4/25/04,,"Plano, TX",
Texas Crawfish & Music Festival,4/30/04,,"Spring, TX",
Buc Days Festival,5/1/04,,"Corpus Christi, TX",
Private   ,5/15/04,,"Kerrville, TX",
Private   ,5/19/04,,"Dallas, TX",
White Elephant,5/20/04,,"Fort Worth, TX",
Texas Theater,5/23/04,,"Waxahachie, TX",
Private   ,6/5/04,,"Schulenberg, TX",
Private   ,6/11/04,,"Austin, TX",
Puffabelly's,6/16/04,,"Spring, TX",
County Line Barbecue,6/17/04,,"Austin, TX",
Private   ,6/18/04,,"Bryan, TX",
Party in the Pines,6/19/04,,"Antlers, OK",
Woody's Tavern,6/25/04,,"Fort Worth, TX",
Private   ,6/26/04,,"Galveston, TX",
Beaver Hunt,7/4/04,,"Rocksprings, TX",
Carney's Pub,7/6/04,,"College Station, TX",
Dan's Silverleaf,7/23/04,with Jayson Bales,"Denton, TX",
Private   ,7/24/04,,"Houston, TX",
Woody's Tavern,8/20/04,,"Fort Worth, TX",
Private   ,9/10/04,,"College Station, TX",
Private   ,9/24/04,,"Georgetown, TX",
Puffabelly's,10/6/04,,"Spring, TX",
Blanco's,10/7/04,,"Houston, TX",
Blanco's,11/24/04,,"Houston, TX",
Private   ,12/14/04,,"La Grange, TX",
Private   ,12/17/04,,"Georgetown, TX",
Schroeder Dance Hall,12/18/04,with Pat Green,"Goliad, TX",
Private   ,1/29/05,,"Ciudad Acuna, Mexico",
Armadillo Palace,3/26/05,,"Houston, TX",
